x=0, y=0, z=0
x=4759, y=11, z=1329
x=1303, y=39, z=1299
x=2374, y=-1211, z=4823
x=1285, y=3486, z=98
x=1184, y=-11, z=4979
x=1153, y=3451, z=1320
x=2351, y=2263, z=55
x=1277, y=-131, z=177
x=-42, y=3625, z=120
x=3653, y=-2463, z=1361
x=3730, y=-120, z=-1127
x=1154, y=-1266, z=2532
x=2415, y=3465, z=1351
x=-1090, y=3541, z=39
x=2379, y=11, z=169
x=51, y=1199, z=112
x=3610, y=-48, z=2414
x=1267, y=3464, z=2535
x=1163, y=3454, z=-1136
x=1181, y=-110, z=2477
x=2523, y=1233, z=31
x=3578, y=-30, z=1324
x=3639, y=-1186, z=1196
x=1170, y=2342, z=1
x=1158, y=-74, z=3734
x=1204, y=1167, z=52
x=3683, y=-150, z=11
x=-1159, y=-1171, z=-5
x=-29, y=-1325, z=80
x=1238, y=-1160, z=4881
